"区分","施設","確認項目","目安・確認内容","担当","確認日","状態","メモ"
"前提を決める","共通","対象人数","従業員・職員に、来客・利用者の想定人数を加える","","","未確認",""
"前提を決める","共通","待機日数","まず3日分を出発点に、地域と建物の条件で調整する","","","未確認",""
"前提を決める","共通","保管場所","浸水、転倒、高温を避け、配布しやすい場所を決める","","","未確認",""
"水・食料","共通","保存水","1人1日3Lを計画時の目安にする","","","未確認",""
"水・食料","共通","非常食","1人1日3食を目安にし、調理水や加熱の要否も見る","","","未確認",""
"水・食料","共通","食物アレルギー","原材料表示と利用者・職員への配布方法を確認する","","","未確認",""
"トイレ・衛生","共通","簡易トイレ一式","凝固剤、排便袋、防臭袋が揃っているか確認する","","","未確認",""
"トイレ・衛生","共通","必要回数","1人1日5回を目安に人数・日数分を計算する","","","未確認",""
"トイレ・衛生","共通","手指衛生","水を使わない手指衛生用品とウェットタオルを分けて備える","","","未確認",""
"停電・情報","共通","ライト","共用ライトに加え、両手を使える照明も検討する","","","未確認",""
"停電・情報","共通","充電手段","スマートフォン、通信機器など優先機器を先に決める","","","未確認",""
"停電・情報","共通","情報収集","ラジオ、予備電池、連絡先の紙控えを確認する","","","未確認",""
"防寒・安全","共通","毛布・保温シート","1人1枚を目安にし、床からの冷えも考える","","","未確認",""
"防寒・安全","共通","救急用品","使用期限、補充担当、設置場所を確認する","","","未確認",""
"防寒・安全","共通","移動時の安全","履物、手袋、ヘルメットなど施設の危険に合わせて選ぶ","","","未確認",""
"運用・点検","共通","期限管理","品目、数量、期限、保管場所を一覧にする","","","未確認",""
"運用・点検","共通","配布・使用担当","誰が開錠し、配り、在庫を記録するか決める","","","未確認",""
"運用・点検","共通","連絡と見直し","緊急連絡先と、年1回以上の点検時期を共有する","","","未確認",""
"施設別","会社・小規模オフィス","社内待機場所","通路を塞がず、座って待機できる場所を決める","","","未確認",""
"施設別","会社・小規模オフィス","帰宅困難者用品","水、食料、トイレ、防寒を人数分まとめて確認する","","","未確認",""
"施設別","会社・小規模オフィス","充電の優先順位","連絡用端末、照明、PCなど使用順を決める","","","未確認",""
"施設別","会社・小規模オフィス","取引先との連絡","電話が使えない場合の連絡手段を決める","","","未確認",""
"施設別","飲食店","飲料水と作業水","飲用、手洗い、清掃に使う水を分けて考える","","","未確認",""
"施設別","飲食店","断水時の衛生","手指、器具、トイレの運用を個別に決める","","","未確認",""
"施設別","飲食店","廃棄物の保管","厚手袋、消臭袋、ふた付き容器を確認する","","","未確認",""
"施設別","飲食店","営業判断","断水・停電時に提供を止める条件と連絡手順を決める","","","未確認",""
"施設別","保育園・幼稚園","園児と職員の人数","年齢別の園児数、職員数、来園者を分けて確認する","","","未確認",""
"施設別","保育園・幼稚園","食物アレルギー","個別対応食と誤配を防ぐ表示方法を確認する","","","未確認",""
"施設別","保育園・幼稚園","乳幼児用品","必要な場合はミルク、哺乳用品、おむつを年齢別に確認する","","","未確認",""
"施設別","保育園・幼稚園","引き渡し手順","保護者への連絡と本人確認の方法を紙でも残す","","","未確認",""
"施設別","介護施設","利用者と職員の人数","利用者、夜勤職員、来訪者を時間帯別に確認する","","","未確認",""
"施設別","介護施設","電源が必要な機器","消費電力と稼働時間を確認し、メーカーや専門業者へ相談する","","","未確認",""
"施設別","介護施設","食事・水分の個別条件","アレルギー、食形態、嚥下などの条件を個別に確認する","","","未確認",""
"施設別","介護施設","排泄とプライバシー","トイレ回数、介助用品、目隠しや動線を確認する","","","未確認",""
